disti_item_number,maker_name,maker_knird_id,drink_name,format,size_format_id,drink_cost,drink_price,distributor_id,disti_item_number,disti_upc,min_quantity,regular_case_cost,current_case_cost,,,,,,,,,,
50021,Boneyard,18,Notorious Triple IPA,50ltr,13, 225.00 , 326.25 ,5,50021,,1,225,225,,,,,,,,,,
50030,Boneyard,18,Pabo Pils,50ltr,13, 140.00 , 203.00 ,5,50030,,1,140,140,,,,,,,,,,
19501,Caldera,28,Lawnmower Lager,12oz cans,1, 0.82 , 1.18 ,5,19501,7-38435-17125-4,24,19.57,19.57,,,,,,,,,,
17111,Caldera,28,Amber,12oz cans,1, 1.28 , 1.86 ,5,17111,8-58845-00402-4,24,30.77,27.97,,,,,,,,,,
17132,Caldera,28,Hopportunity Knocks,12oz cans,1, 1.28 , 1.86 ,5,17132,8-58845-00408-6,24,30.77,27.97,,,,,,,,,,
17140,Caldera,28,IPA,12oz cans,1, 1.28 , 1.86 ,5,17140,8-58845-00408-6,24,30.77,27.97,,,,,,,,,,
19505,Caldera,28,Mosaic IPA,12oz cans,1, 1.28 , 1.86 ,5,19505,7-38435-17118-6,24,30.77,27.97,,,,,,,,,,
19545,Caldera,28,Pale Ale,12oz cans,1, 1.28 , 1.86 ,5,19545,0-00000-00000-0,24,30.77,27.97,,,,,,,,,,
19500,Caldera,28,Porter,12oz cans,1, 1.28 , 1.86 ,5,19500,7-38435-17932-8,24,30.77,27.97,,,,,,,,,,
19538,Caldera,28,Vanilla Wheat,12oz bottles,2, 1.28 , 1.86 ,5,19538,7-38435-34611-9,24,30.77,22,,,,,,,,,,
17121,Caldera,28,Hibiscus Ginger Beer,12oz bottles,2, 1.28 , 1.86 ,5,17121,8-58845-00408-6,24,30.77,22,,,,,,,,,,
17130,Caldera,28,Hop Hash,12oz bottles,2, 1.28 , 1.86 ,5,17130,8-58845-00408-6,24,30.77,30.77,,,,,,,,,,
19531,Caldera,28,Rauch Ur-Bock,22oz bottles,5, 4.19 , 6.08 ,5,19531,7-38435-17936-6,12,50.32,50.32,,,,,,,,,,
19502,Caldera,28,Rose Petal Imperial Gold,22oz bottles,5, 3.49 , 5.07 ,5,19502,7-38435-17930-4,12,41.92,41.92,,,,,,,,,,
19546,Caldera,28,Vas Deferens Ale,22oz bottles,5, 7.69 , 11.16 ,5,19546,7-98304-36310-4,12,92.32,92.32,,,,,,,,,,
17126,Caldera,28,Hop Hash,22oz bottles,5, 3.49 , 5.07 ,5,17126,8-58845-00408-6,12,41.92,41.92,,,,,,,,,,
17115,Caldera,28,Bourbon Barrel Aged Mogli Chocolate Porter,22oz bottles,5, 16.79 , 24.35 ,5,17115,8-58845-00412-3,12,201.52,201.52,,,,,,,,,,
17116,Caldera,28,Ginger Beer,22oz bottles,5, 3.49 , 5.07 ,5,17116,8-58845-00403-1,12,41.92,41.92,,,,,,,,,,
19503,Caldera,28,Mogli-Oak Aged Imp Porter with Chocolate,22oz bottles,5, 11.83 , 17.16 ,5,19503,7-38435-17101-8,12,142,142,,,,,,,,,,
19537,Caldera,28,Old Growth Imperial Stout,22oz bottles,5, 6.99 , 10.14 ,5,19537,7-38435-34611-9,12,83.92,83.92,,,,,,,,,,
19504,Caldera,28,Toasted Coconut Porter,22oz bottles,5, 4.89 , 7.09 ,5,19504,7-38435-17931-1,12,58.71,58.71,,,,,,,,,,
80003,Caldera,28,IPA,1/6bbl,6, 85.00 , 123.25 ,5,80003,,1,85,85,,,,,,,,,,
80068,Caldera,28,Toasted Coconut Porter,1/6bbl,6, 95.00 , 137.75 ,5,80068,,1,95,95,,,,,,,,,,
80070,Caldera,28,Mosaic IPA,1/2bbl,9, 195.00 , 282.75 ,5,80070,,1,195,195,,,,,,,,,,
80004,Caldera,28,IPA,1/2bbl,9, 165.00 , 239.25 ,5,80004,,1,165,165,,,,,,,,,,
80069,Caldera,28,Toasted Coconut Porter,1/2bbl,9, 215.00 , 311.75 ,5,80069,,1,215,215,,,,,,,,,,
80011,Caldera,28,Amber,1/2bbl,9, 165.00 , 239.25 ,5,80011,,1,165,165,,,,,,,,,,
80072,Caldera,28,Berliner-Weisse,1/2bbl,9, 165.00 , 239.25 ,5,80072,,1,165,165,,,,,,,,,,
80055,Caldera,28,Dry Hop Orange,1/2bbl,9, 190.00 , 275.50 ,5,80055,,1,190,190,,,,,,,,,,
80019,Caldera,28,Ginger Beer,1/2bbl,9, 175.00 , 253.75 ,5,80019,,1,175,175,,,,,,,,,,
80026,Caldera,28,Hopportunity Knocks,1/2bbl,9, 175.00 , 253.75 ,5,80026,,1,175,175,,,,,,,,,,
80015,Caldera,28,Lawnmower Lager,1/2bbl,9, 165.00 , 239.25 ,5,80015,,1,165,165,,,,,,,,,,
80008,Caldera,28,Pale,1/2bbl,9, 165.00 , 239.25 ,5,80008,,1,165,165,,,,,,,,,,
80064,Caldera,28,Porter,1/2bbl,9, 165.00 , 239.25 ,5,80064,,1,165,165,,,,,,,,,,
17532,Ground Breaker,50,Olallie Ale,12oz bottles,2, 1.75 , 2.53 ,5,17532,8-12465-00024-8,24,41.94,41.94,,,,,,,,,,
17558,Ground Breaker,50,IPA No.5,12oz bottles,2, 2.10 , 3.04 ,5,17558,8-12465-00024-8,24,50.35,50.35,,,,,,,,,,
17530,Ground Breaker,50,Dark Ale,22oz bottles,5, 4.20 , 6.08 ,5,17530,8-12465-00103-0,12,50.35,50.35,,,,,,,,,,
17562,Ground Breaker,50,IPA No.5,22oz bottles,5, 4.20 , 6.08 ,5,17562,8-12465-00666-0,12,50.35,50.35,,,,,,,,,,
17522,Ground Breaker,50,Coffee Pale Ale Seasonal,22oz bottles,5, 4.53 , 6.57 ,5,17522,8-12465-00102-3,12,54.4,54.4,,,,,,,,,,
17549,Ground Breaker,50,Hey Day Imperial IPA Seasonal,22oz bottles,5, 4.53 , 6.57 ,5,17549,8-12465-00101-6,12,54.4,54.4,,,,,,,,,,
